,token_text,lemma,pos,ref,char_start,char_end,id,sent_idx,sent_len,page,textblock,tag,blocktype,positions
2759758,fumum,fumus,NOUN,"{'blocktype': 'text', 'page': array([517]), 'tag': '', 'textblock': array([23])}",86,91,100032,6824,92,[517],[23],,text,"[{'coordinates': {'upper_left_x': 0.09845070100166428, 'upper_left_y': 0.7089823494970271, 'lower_right_x': 0.7980160243074659, 'lower_right_y': 0.7116371762436048}, 'text': 'fumum. Potest autem fieri album & rube', 'tag': 'text', 'page': 517}]"
4181237,uiderunt,uideo,VERB,"{'blocktype': 'text', 'page': array([403]), 'tag': '', 'textblock': array([74])}",16,24,100100,15927,82,[403],[74],,text,"[{'coordinates': {'upper_left_x': 0.491438299950133, 'upper_left_y': 0.5348960333225031, 'lower_right_x': 0.8758265458776596, 'lower_right_y': 0.5379206387592549}, 'text': 'Prophetae. Gentiles quoque uiderunt, ', 'tag': 'text', 'page': 403}]"
1367485,humidi,humidus,ADJ,"{'blocktype': 'text', 'page': array([359]), 'tag': '', 'textblock': array([57])}",267,273,100085,23345,548,[359],[57],,text,"[{'coordinates': {'upper_left_x': 0.04183098631845394, 'upper_left_y': 0.7722907807247572, 'lower_right_x': 0.82542231385137, 'lower_right_y': 0.7734860120066609}, 'text': 'coctio inexistentis humidi a calore naturali terminum inuehente per uim dominantem, [GR] ἀδύνατον γὰρ ὁρίζειν μὴ κρατοῦν [/GR] ', 'tag': 'text', 'page': 359}]"
3501460,debet,debeo,VERB,"{'blocktype': 'text', 'page': array([429]), 'tag': '', 'textblock': array([44])}",50,55,100004,15080,230,[429],[44],,text,"[{'coordinates': {'upper_left_x': 0.06504155350083679, 'upper_left_y': 0.7860149984745467, 'lower_right_x': 0.7927631578947368, 'lower_right_y': 0.7873873616195955}, 'text': 'crudus super quem proiectio fieri debet, lauari debet in aceto calido ad ignem ', 'tag': 'text', 'page': 429}]"
217075,",",",",PUNCT,"{'blocktype': 'text', 'page': array([452]), 'tag': '', 'textblock': array([6])}",136,137,100094,5480,322,[452],[6],,text,"[{'coordinates': {'upper_left_x': 0.2810400085449219, 'upper_left_y': 0.31862869633311286, 'lower_right_x': 0.8580267333984375, 'lower_right_y': 0.3220430012794934}, 'text': 'beat, sed primo Luna, dein Sol, & alii Pla', 'tag': 'text', 'page': 452}]"
1150387,aeris,aer,NOUN,"{'blocktype': 'text', 'page': array([130]), 'tag': '', 'textblock': array([44])}",14,19,100085,9244,96,[130],[44],,text,"[{'coordinates': {'upper_left_x': 0.4902150690769209, 'upper_left_y': 0.6643003648327243, 'lower_right_x': 0.9668793490283378, 'lower_right_y': 0.6655402644988029}, 'text': 'tem aeris ustulatis dicatum esse, non obscure patet ex ortho', 'tag': 'text', 'page': 130}]"
1105677,.,.,PUNCT,"{'blocktype': 'text', 'page': array([78]), 'tag': '', 'textblock': array([83])}",60,61,100085,6142,61,[78],[83],,text,"[{'coordinates': {'upper_left_x': 0.17597825976385587, 'upper_left_y': 0.7682721537928427, 'lower_right_x': 0.9717602937117867, 'lower_right_y': 0.7695120534589214}, 'text': 'dum Censor. Scripsisses melius receptas. ""Forma corporum similarium, qua sunt mista, crasis est."" Uide num haec ', 'tag': 'text', 'page': 78}]"
545585,oportet,oportet,VERB,"{'blocktype': 'text', 'page': array([206]), 'tag': '', 'textblock': array([22])}",54,61,100072,7782,94,[206],[22],,text,"[{'coordinates': {'upper_left_x': 0.27311288970634084, 'upper_left_y': 0.3149152637201514, 'lower_right_x': 0.90714597103941, 'lower_right_y': 0.31661019621595826}, 'text': '& antidotis, que efficacia retinere oportet, non adeo copiosa impo', 'tag': 'text', 'page': 206}]"
5344702,cum,cum,SCONJ,"{'blocktype': 'text', 'page': array([51]), 'tag': '', 'textblock': array([22])}",59,62,100024,610,81,[51],[22],,text,"[{'coordinates': {'upper_left_x': 0.09035293835551798, 'upper_left_y': 0.7151543624044314, 'lower_right_x': 0.8010331354221376, 'lower_right_y': 0.7208551329841523}, 'text': 'uero, cum in rubram desiuit. Quo fit, ut Quid la', 'tag': 'text', 'page': 51}]"
915976,puro,purus,ADJ,"{'blocktype': 'text', 'page': array([28]), 'tag': '', 'textblock': array([16])}",124,128,100082,185,163,[28],[16],,text,"[{'coordinates': {'upper_left_x': 0.12423529104024422, 'upper_left_y': 0.5435914245750445, 'lower_right_x': 0.7697187151227679, 'lower_right_y': 0.549434670926273}, 'text': 'lutari, quam puro ac salutari Dei uerbo ob', 'tag': 'text', 'page': 28}]"
943369,.,.,PUNCT,"{'blocktype': 'text', 'page': array([183]), 'tag': '', 'textblock': array([24])}",13,14,100082,1896,14,[183],[24],,text,"[{'coordinates': {'upper_left_x': 0.1992605000984769, 'upper_left_y': 0.8217576994182378, 'lower_right_x': 0.8751018620338761, 'lower_right_y': 0.8274584699979587}, 'text': 're non ualent aquas. Ierem. cap. 2. Si nescis ', 'tag': 'text', 'page': 183}]"
1448736,indigent,indigeo,VERB,"{'blocktype': 'text', 'page': array([16]), 'tag': '', 'textblock': array([2])}",231,239,100095,37,283,[16],[2],,text,"[{'coordinates': {'upper_left_x': 0.2633949600347952, 'upper_left_y': 0.18498809886941434, 'lower_right_x': 0.8477230809315914, 'lower_right_y': 0.19068881508290342}, 'text': 'uere credunt, elleboro indigent & po', 'tag': 'text', 'page': 16}]"
1782063,retortis,retorqueo,VERB,"{'blocktype': 'text', 'page': array([37]), 'tag': '', 'textblock': array([32])}",75,83,100070,853,84,[37],[32],,text,"[{'coordinates': {'upper_left_x': 0.09030674815421699, 'upper_left_y': 0.7361878110022985, 'lower_right_x': 0.7401372055334547, 'lower_right_y': 0.7438873625323993}, 'text': 'sum tantum, sed & inclinationem talia destillamus, adhibitis retortis. Et ', 'tag': 'text', 'page': 37}]"
3309143,quam,quam,PRON,"{'blocktype': 'text', 'page': array([127]), 'tag': '', 'textblock': array([25])}",153,157,100004,4723,169,[127],[25],,text,"[{'coordinates': {'upper_left_x': 0.08261253175121014, 'upper_left_y': 0.4320266549707221, 'lower_right_x': 0.787789973556101, 'lower_right_y': 0.4333610799798443}, 'text': 'lo eam adferre, quam superiorem. Que ut ab omnibus familiariter intelligi possit, ', 'tag': 'text', 'page': 127}]"
2765656,nisi,nisi,SCONJ,"{'blocktype': 'text', 'page': array([16]), 'tag': '', 'textblock': array([3])}",0,4,100052,69,54,[16],[3],,text,"[{'coordinates': {'upper_left_x': 0.2145882358070181, 'upper_left_y': 0.20437053037086178, 'lower_right_x': 0.8838928735556723, 'lower_right_y': 0.21007124658435086}, 'text': 'ti: nisi quod Terra haec ho', 'tag': 'text', 'page': 16}]"
