,token,pdf_page,pdf_page_textblock,positions
530909,plantaginis,[47],[27],"[{'coordinates': {'upper_left_x': 0.1004947015337725, 'upper_left_y': 0.7908496732026143, 'lower_right_x': 0.7779470383067856, 'lower_right_y': 0.7934640123953227}, 'text': 'de hoc oleo sumito z. iiij. aquae plantaginis,\n', 'tag': 'text'}]"
3104993,fuerit,[347],[12],"[{'coordinates': {'upper_left_x': 0.03232029159032181, 'upper_left_y': 0.3573799299881448, 'lower_right_x': 0.7353673905432495, 'lower_right_y': 0.360000043977296}, 'text': 'quod si verò dolor hic fuerit à causa calida,\n', 'tag': 'text'}]"
629183,Ut,[9],[23],"[{'coordinates': {'upper_left_x': 0.11334454191832984, 'upper_left_y': 0.7986697380446481, 'lower_right_x': 0.7694942698759191, 'lower_right_y': 0.8043705086243691}, 'text': 'hanc: secretissimam cui vult. Vt igitur gloria\n', 'tag': 'text'}]"
1095534,",",[1192],[1],"[{'coordinates': {'upper_left_x': 0.25176773563508065, 'upper_left_y': 0.08333853173443652, 'lower_right_x': 0.9513151304183468, 'lower_right_y': 0.08711805568905327}, 'text': 'rum, & anima philosophorum, & vnguen¬\n', 'tag': 'text'}]"
2818320,sub,[33],[8],"[{'coordinates': {'upper_left_x': 0.09562005384406608, 'upper_left_y': 0.2736000104631696, 'lower_right_x': 0.7807852309737797, 'lower_right_y': 0.27634286063058033}, 'text': 'facere: illum adiui, & sub eius cognitione,\n', 'tag': 'text'}]"
158323,aluminis,[18],[24],"[{'coordinates': {'upper_left_x': 0.06821052651656301, 'upper_left_y': 0.7081967546640198, 'lower_right_x': 0.8723903455232319, 'lower_right_y': 0.7169399018278974}, 'text': 'salis aut aluminis in se habens. Id enim experientia docemur,\n', 'tag': 'text'}]"
1459269,aquae,[234],[1],"[{'coordinates': {'upper_left_x': 0.27388236422498685, 'upper_left_y': 0.10292634035232798, 'lower_right_x': 0.8719729639902836, 'lower_right_y': 0.10876956858147918}, 'text': 'Recip. aquae rosaceae stillatitiae, florum myr¬\n', 'tag': 'text'}]"
2228788,quidem,[160],[23 24],"[{'coordinates': {'upper_left_x': 0.3831932773109244, 'upper_left_y': 0.6444655031036595, 'lower_right_x': 0.9698760216977416, 'lower_right_y': 0.6501662736833803}, 'text': 'nim in elaborando eius vis consistit, & qui¬\n', 'tag': 'text'}, {'coordinates': {'upper_left_x': 0.384806733972886, 'upper_left_y': 0.6695771930902984, 'lower_right_x': 0.9666693679424895, 'lower_right_y': 0.6754204031973723}, 'text': 'dem non quouis modo, sed arti conformi¬\n', 'tag': 'text'}]"
1138503,superius,[104],[4],"[{'coordinates': {'upper_left_x': 0.1919999964096967, 'upper_left_y': 0.16477908317946482, 'lower_right_x': 0.8765640387014181, 'lower_right_y': 0.17062231140861603}, 'text': 'rio. Prius uocat superius, id est coeleste, per\n', 'tag': 'text'}]"
3064871,clarissima,[178],[27],"[{'coordinates': {'upper_left_x': 0.27351351901217624, 'upper_left_y': 0.725103580054696, 'lower_right_x': 0.9725984040681306, 'lower_right_y': 0.7277207702170801}, 'text': 'clarissima, quae vocatur mater balsami con¬\n', 'tag': 'text'}]"
594512,redigatur,[359],[22],"[{'coordinates': {'upper_left_x': 0.06445229601101825, 'upper_left_y': 0.6814510037956155, 'lower_right_x': 0.748704512633199, 'lower_right_y': 0.6841307662930624}, 'text': 'Quo facto, in puluerem redigatur: deinde in\n', 'tag': 'text'}]"
3034246,destillari,[50],[25],"[{'coordinates': {'upper_left_x': 0.3507042199792996, 'upper_left_y': 0.7040303162645506, 'lower_right_x': 0.9206983539420115, 'lower_right_y': 0.7066941191586018}, 'text': 'modè sic, tali instrumento, destillari.\n', 'tag': 'text'}]"
189150,calx,[106],[24],"[{'coordinates': {'upper_left_x': 0.06568420811703331, 'upper_left_y': 0.6570491825513718, 'lower_right_x': 0.8738774349814967, 'lower_right_y': 0.6657923297152493}, 'text': 'hoc est calx ferri qui generatur in igne & à fabris in media uia\n', 'tag': 'text'}]"
2146688,in,[168],[35],"[{'coordinates': {'upper_left_x': 0.30292437898010766, 'upper_left_y': 0.8725225670603844, 'lower_right_x': 0.9135006688222164, 'lower_right_y': 0.8783657771674585}, 'text': 'tat, & in se conuertit. Nam sicut aër qui est\n', 'tag': 'text'}]"
3295805,Non,[338],[7],"[{'coordinates': {'upper_left_x': 0.16909090677897134, 'upper_left_y': 0.22524822406453163, 'lower_right_x': 0.9561460668390448, 'lower_right_y': 0.23659573097319186}, 'text': 'pidibus, est enim mansio earum in ipsis. Non sis in uenando pi¬\n', 'tag': 'text'}]"
2892856,",",[317],[24],"[{'coordinates': {'upper_left_x': 0.07500000132454766, 'upper_left_y': 0.7059581713591989, 'lower_right_x': 0.8002839618259006, 'lower_right_y': 0.7085346215780999}, 'text': 'Princeps etiam erigi commisit, nil praeter di¬\n', 'tag': 'text'}]"
173001,per,[60],[5],"[{'coordinates': {'upper_left_x': 0.04673684270758378, 'upper_left_y': 0.22386885123608977, 'lower_right_x': 0.8509013928865131, 'lower_right_y': 0.2328305965347151}, 'text': 'nomine apppellato, per Orpheum uero nostra medicina signifi¬\n', 'tag': 'text'}]"
2309518,interimant,[154],[28 29],"[{'coordinates': {'upper_left_x': 0.23233614368599, 'upper_left_y': 0.7670308382664044, 'lower_right_x': 0.8865475438222163, 'lower_right_y': 0.7727316088461254}, 'text': 'visis exitialem effascinationem faciant, vt interi¬\n', 'tag': 'text'}, {'coordinates': {'upper_left_x': 0.23152940253249737, 'upper_left_y': 0.7909737992456577, 'lower_right_x': 0.8754150390625, 'lower_right_y': 0.7966745698253785}, 'text': 'mant quos diutius intueantur. iratis pręcipuè o¬\n', 'tag': 'text'}]"
1078891,malis,[1107],[9],"[{'coordinates': {'upper_left_x': 0.07344430295819662, 'upper_left_y': 0.3012551913737495, 'lower_right_x': 0.7564748063130202, 'lower_right_y': 0.3051537757063441}, 'text': 'nim illi palliauimus: sed malis & improbis eam\n', 'tag': 'text'}]"
926613,melior,[334],[15],"[{'coordinates': {'upper_left_x': 0.25172236033147893, 'upper_left_y': 0.4336898900285552, 'lower_right_x': 0.9617358994667818, 'lower_right_y': 0.43758228157140033}, 'text': 'tem multe sunt calcinationes, sed melior est\n', 'tag': 'text'}]"
2044108,.,[85],[10],"[{'coordinates': {'upper_left_x': 0.10043697196896337, 'upper_left_y': 0.34888358580528134, 'lower_right_x': 0.7581183425518645, 'lower_right_y': 0.35458428389669316}, 'text': 'circa aurem & conuulsiones significant. Coac.\n', 'tag': 'text'}]"
696150,tepida,[122],[5],"[{'coordinates': {'upper_left_x': 0.27899999618530275, 'upper_left_y': 0.17747266653361446, 'lower_right_x': 0.9527294794718425, 'lower_right_y': 0.1849609589241968}, 'text': 'consueto) laua aqua dulci tepida aliquoties, vt abscedat acrimonia. Sicca in\n', 'tag': 'text'}]"
1903471,",",[204],[13],"[{'coordinates': {'upper_left_x': 0.2880000010258009, 'upper_left_y': 0.40078858581687943, 'lower_right_x': 0.8952643899356618, 'lower_right_y': 0.40663183216810794}, 'text': 'gulatum, sed fluidum ea de causa reperiri sub ter¬\n', 'tag': 'text'}]"
304035,(,[57],[20],"[{'coordinates': {'upper_left_x': 0.2567441819910195, 'upper_left_y': 0.6660382378126659, 'lower_right_x': 0.9123583822155316, 'lower_right_y': 0.6764841261942676}, 'text': 'sa (calida aut frig.) exiccat. uisum utra¬\n', 'tag': 'text'}]"
2560467,ducentia,[63],[24],"[{'coordinates': {'upper_left_x': 0.08228571274701287, 'upper_left_y': 0.6327790828895116, 'lower_right_x': 0.8618254332983193, 'lower_right_y': 0.6384798534692325}, 'text': 'non igitur ducentia, sed formae duces in Medicina erunt, & illud\n', 'tag': 'text'}]"
94268,.,[194],[9],"[{'coordinates': {'upper_left_x': 0.27952942407431725, 'upper_left_y': 0.3662992645046207, 'lower_right_x': 0.8195965935202206, 'lower_right_y': 0.37214251085584915}, 'text': 'REMEDIVM CANCRI.\n', 'tag': 'text'}]"
1617151,Non,[45],[25],"[{'coordinates': {'upper_left_x': 0.184336134966682, 'upper_left_y': 0.8158004652009724, 'lower_right_x': 0.773752215730042, 'lower_right_y': 0.8216436753080463}, 'text': 'Non absimile dubium occurrere potest, v¬\n', 'tag': 'text'}]"
52918,],[258],[11],"[{'coordinates': {'upper_left_x': 0.36141175342207194, 'upper_left_y': 0.34004747839268484, 'lower_right_x': 0.6444003577993698, 'lower_right_y': 0.34574817648409667}, 'text': 'Aquae aluminis [S]y[/S]. xv.\n', 'tag': 'text'}]"
1579801,que,[518],[4],"[{'coordinates': {'upper_left_x': 0.21217391801917035, 'upper_left_y': 0.19700893333980016, 'lower_right_x': 0.9296650541001472, 'lower_right_y': 0.1996874979564122}, 'text': 'ter aurum. Id vnum ad se trahit, ideoque optimè\n', 'tag': 'text'}]"
3306465,aluminibus,[378],[21],"[{'coordinates': {'upper_left_x': 0.4625287403092074, 'upper_left_y': 0.6590854565486071, 'lower_right_x': 0.6895122308840697, 'lower_right_y': 0.6704480741646218}, 'text': 'De aluminibus.\n', 'tag': 'text'}]"
2198889,graculis,[20],[6],"[{'coordinates': {'upper_left_x': 0.3198655585280987, 'upper_left_y': 0.2166270711359672, 'lower_right_x': 0.8963577911633404, 'lower_right_y': 0.22232778734945627}, 'text': 'gratia rerum putet, vt graculis Paracelsitis\n', 'tag': 'text'}]"
3062862,",",[171],[1],"[{'coordinates': {'upper_left_x': 0.07645617600997363, 'upper_left_y': 0.08855262555574116, 'lower_right_x': 0.7460201166352498, 'lower_right_y': 0.09118420617622242}, 'text': 'optimae [S]lb[/S]. vj. In aqua vitę madefiat pannus,\n', 'tag': 'text'}]"
1914474,Aetius,[19],[28],"[{'coordinates': {'upper_left_x': 0.10729411790350905, 'upper_left_y': 0.7978146659506755, 'lower_right_x': 0.70937556419052, 'lower_right_y': 0.8035154365303964}, 'text': 'ni: de quibus & Galenus, & Aegineta, & Aetius,\n', 'tag': 'text'}]"
2062041,.,[159],[4],"[{'coordinates': {'upper_left_x': 0.11334454191832984, 'upper_left_y': 0.18359139412995473, 'lower_right_x': 0.6623600294610031, 'lower_right_y': 0.18943462235910594}, 'text': 'pustulae septicae vocatae, malum. 6. epid.\n', 'tag': 'text'}]"
171194,in,[54],[26],"[{'coordinates': {'upper_left_x': 0.0568421062670256, 'upper_left_y': 0.702513703448742, 'lower_right_x': 0.8614281905324835, 'lower_right_y': 0.7112568506126196}, 'text': 'ptione modo in uase uitreo diligentissime, ne respiret obturato,\n', 'tag': 'text'}]"
2332880,locupletissimi,[259],[28],"[{'coordinates': {'upper_left_x': 0.11455462800354517, 'upper_left_y': 0.7467933346709843, 'lower_right_x': 0.7623806480600053, 'lower_right_y': 0.7524941052507051}, 'text': 'bilis & locupletissimi, artificium è multis vnum:\n', 'tag': 'text'}]"
